concept_id,code,codetype,descrip
1592799,1862696,PR00,empagliflozin 25 MG / metformin hydrochloride 1000 MG [Synjardy]
1592800,1862697,PR00,24 HR empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592801,1862698,PR00,empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592802,1862699,PR00,empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592803,1862700,PR00,24 HR empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592804,1862701,PR00,24 HR empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592805,1862702,PR00,empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592806,1862703,PR00,empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1596916,213442,PR00,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Novolin]"
1596917,245264,PR00,"insulin isophane, human 85 UNT/ML / insulin, regular, human 15 UNT/ML Injectable Suspension"
1596918,245265,PR00,"insulin isophane, human 50 UNT/ML / insulin, regular, human 50 UNT/ML Injectable Suspension"
1596919,247511,PR00,"insulin isophane, human 90 UNT/ML / insulin, regular, human 10 UNT/ML Injectable Suspension"
1596920,247512,PR00,"insulin isophane, human 80 UNT/ML / insulin, regular, human 20 UNT/ML Injectable Suspension"
1596921,247513,PR00,"insulin isophane, human 60 UNT/ML / insulin, regular, human 40 UNT/ML Injectable Suspension"
1596956,847187,PR00,"3 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector"
1596957,847189,PR00,"3 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector [Humulin]"
1596972,847256,PR00,"1.5 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe"
1596973,847257,PR00,"1.5 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe [Novolin]"
1596976,847343,PR00,"1.5 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe [Humulin]"
1596977,253182,PR00,"insulin, regular, human"
1596998,343258,PR00,"insulin, regular, human 50 UNT/ML"
1596999,351859,PR00,"insulin, regular, human 500 UNT/ML Injectable Solution [Humulin R]"
1597000,359125,PR00,"insulin, regular, human 15 UNT/ML"
1597001,359126,PR00,"insulin, regular, human 10 UNT/ML"
1597012,359127,PR00,"insulin, regular, human 20 UNT/ML"
1597756,25789,PR00,glimepiride
1597757,153591,PR00,glimepiride 2 MG Oral Tablet [Amaryl]
1597758,153842,PR00,glimepiride 3 MG Oral Tablet
1597759,153843,PR00,glimepiride 1 MG Oral Tablet [Amaryl]
1597760,153845,PR00,glimepiride 4 MG Oral Tablet [Amaryl]
1597761,199245,PR00,glimepiride 1 MG Oral Tablet
1597772,199246,PR00,glimepiride 2 MG Oral Tablet
1597773,199247,PR00,glimepiride 4 MG Oral Tablet
1597774,315978,PR00,glimepiride 1 MG
1597775,315979,PR00,glimepiride 4 MG
1597776,317637,PR00,glimepiride 2 MG
1597781,647237,PR00,glimepiride 2 MG / pioglitazone 30 MG Oral Tablet
1597792,647239,PR00,glimepiride 4 MG / pioglitazone 30 MG Oral Tablet
1597795,731457,PR00,glimepiride 4 MG / pioglitazone 30 MG Oral Tablet [Duetact]
1597796,731463,PR00,glimepiride 2 MG / pioglitazone 30 MG Oral Tablet [Duetact]
1597798,847712,PR00,glimepiride 2 MG / rosiglitazone 4 MG Oral Tablet [Avandaryl]
1597799,847716,PR00,glimepiride 1 MG / rosiglitazone 4 MG Oral Tablet [Avandaryl]
1597801,847724,PR00,glimepiride 4 MG / rosiglitazone 8 MG Oral Tablet [Avandaryl]
1718876,1862101,PR00,"{60 (insulin, regular, human 12 UNT Inhalation Powder) / 60 (insulin, regular, human 4 UNT Inhalation Powder) / 60 (insulin, regular, human 8 UNT Inhalation Powder) } Pack"
1718889,1862102,PR00,"{60 (insulin, regular, human 12 UNT Inhalation Powder [Afrezza]) / 60 (insulin, regular, human 4 UNT Inhalation Powder [Afrezza]) / 60 (insulin, regular, human 8 UNT Inhalation Powder [Afrezza]) } Pack [Afrezza 180 Titration Pack- 60 (4 UNT), 60 (8 UNT..."
1718898,1810996,PR00,canagliflozin / metformin Extended Release Oral Tablet
1718899,1810997,PR00,24 HR canagliflozin 150 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1718900,1810998,PR00,canagliflozin / metformin Extended Release Oral Tablet [Invokamet]
1718901,1810999,PR00,24 HR canagliflozin 150 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet]
1718902,1811000,PR00,canagliflozin 150 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1718903,1811001,PR00,canagliflozin 150 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet]
1718904,1811002,PR00,24 HR canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet
1718905,1811003,PR00,24 HR canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet]
1718906,1811004,PR00,canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet
1718907,1811005,PR00,canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet]
1718908,1811006,PR00,24 HR canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1718909,1811007,PR00,24 HR canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet]
1718910,1811008,PR00,canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1718911,1811009,PR00,canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet]
1718912,1811010,PR00,24 HR canagliflozin 50 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet
1718913,1811011,PR00,24 HR canagliflozin 50 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet]
1718914,1811012,PR00,canagliflozin 50 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet
1718915,1811013,PR00,canagliflozin 50 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet]
2313872,93312,PR00,glyburide Oral Tablet [Micronase]
3195766,1368003,PR00,alogliptin Oral Product
3249959,861008,PR00,metformin hydrochloride 500 MG Oral Tablet [Glucophage]
3416283,1811008,PR00,canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
4028983,1368003,PR00,alogliptin Oral Product
4107963,1811008,PR00,canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
4311259,861008,PR00,metformin hydrochloride 500 MG Oral Tablet [Glucophage]
19001408,102845,PR00,glyburide 5 MG Oral Tablet [Daonil]
19006908,105371,PR00,glyburide 2.5 MG Oral Tablet [Calabren]
19006909,105372,PR00,glyburide 5 MG Oral Tablet [Calabren]
19006910,105373,PR00,glipizide 5 MG Oral Tablet [Minidiab]
19006932,105376,PR00,metformin hydrochloride 500 MG Oral Tablet [Glucamet]
19006933,105377,PR00,metformin hydrochloride 850 MG Oral Tablet [Glucamet]
19007871,575147,PR00,"insulin, regular, human 100 UNT/ML [Velosulin]"
19009384,106892,PR00,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Humulin]"
19009386,106894,PR00,"insulin isophane, human 85 UNT/ML / insulin, regular, human 15 UNT/ML Injectable Suspension [Pur-In Mix]"
19009387,106895,PR00,"insulin isophane, human 75 UNT/ML / insulin, regular, human 25 UNT/ML Injectable Suspension [Pur-In Mix]"
19009388,106896,PR00,"insulin isophane, human 50 UNT/ML / insulin, regular, human 50 UNT/ML Injectable Suspension [Pur-In Mix]"
19009390,106899,PR00,"insulin isophane, human 90 UNT/ML / insulin, regular, human 10 UNT/ML Injectable Suspension [Humulin]"
19009421,106900,PR00,"insulin isophane, human 80 UNT/ML / insulin, regular, human 20 UNT/ML Injectable Suspension [Humulin]"
19009422,106901,PR00,"insulin isophane, human 60 UNT/ML / insulin, regular, human 40 UNT/ML Injectable Suspension [Humulin]"
19010204,108407,PR00,"insulin isophane, human 50 UNT/ML / insulin, regular, human 50 UNT/ML Injectable Suspension [Humulin]"
19010510,108813,PR00,"insulin isophane, human 90 UNT/ML / insulin, regular, human 10 UNT/ML Injectable Suspension [Human Mixtard]"
19010531,108814,PR00,"insulin isophane, human 80 UNT/ML / insulin, regular, human 20 UNT/ML Injectable Suspension [Human Mixtard]"
19010532,108815,PR00,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Human Mixtard]"
19010533,108816,PR00,"insulin isophane, human 50 UNT/ML / insulin, regular, human 50 UNT/ML Injectable Suspension [Human Mixtard]"
19010534,108822,PR00,"insulin isophane, human 60 UNT/ML / insulin, regular, human 40 UNT/ML Injectable Suspension [Human Mixtard]"
19012266,150659,PR00,"insulin, regular, human 100 UNT/ML Injectable Solution [Pur-In Neutral]"
19012507,150831,PR00,"insulin, regular, human 100 UNT/ML Injectable Solution [Human Actrapid Penfill]"
19012678,150973,PR00,"insulin, regular, human 100 UNT/ML Injectable Solution [Human Actrapid]"
19012679,150974,PR00,"insulin, regular, human 100 UNT/ML Injectable Solution [Humulin S]"
19017142,731455,PR00,glimepiride 4 MG / pioglitazone 30 MG [Duetact]
