concept_id,code,codetype,descrip
37496841,2200653,PR00,semaglutide 3 MG [Rybelsus]
37496842,2200654,PR00,semaglutide 3 MG Oral Tablet [Rybelsus]
37496843,2200655,PR00,semaglutide 7 MG
37496844,2200656,PR00,semaglutide 7 MG Oral Tablet
37496845,2200657,PR00,semaglutide 7 MG [Rybelsus]
37498226,2268064,PR00,Sensor 3 ML insulin glargine 100 UNT/ML Pen Injector
37498227,2268065,PR00,Sensor 3 ML insulin glargine 100 UNT/ML Pen Injector [Basaglar]
40051347,378864,PR00,insulin glargine Injectable Solution
40051348,362585,PR00,insulin glargine Injectable Solution [Lantus]
40169222,897122,PR00,3 ML liraglutide 6 MG/ML Pen Injector
40169223,897126,PR00,3 ML liraglutide 6 MG/ML Pen Injector [Victoza]
40170911,475968,PR00,liraglutide
40170912,897120,PR00,liraglutide 6 MG/ML
40170913,897124,PR00,liraglutide 6 MG/ML [Victoza]
40220770,1803903,PR00,{1 (3 ML lixisenatide 0.05 MG/ML Pen Injector [Adlyxin]) / 1 (3 ML lixisenatide 0.1 MG/ML Pen Injector [Adlyxin]) } Pack [Adlyxin Starter Kit]
40220851,1803885,PR00,lixisenatide Pen Injector
40220852,1803886,PR00,lixisenatide 0.05 MG/ML Pen Injector
40220854,1803888,PR00,lixisenatide 0.05 MG/ML [Adlyxin]
40220855,1803889,PR00,lixisenatide Pen Injector [Adlyxin]
40220856,1803890,PR00,Adlyxin Injectable Product
40220857,1803891,PR00,lixisenatide 0.05 MG/ML Pen Injector [Adlyxin]
40220858,1803892,PR00,3 ML lixisenatide 0.05 MG/ML Pen Injector
40220859,1803893,PR00,3 ML lixisenatide 0.05 MG/ML Pen Injector [Adlyxin]
40220860,1803894,PR00,3 ML lixisenatide 0.1 MG/ML Pen Injector
40220861,1803895,PR00,lixisenatide 0.1 MG/ML [Adlyxin]
40220862,1803896,PR00,3 ML lixisenatide 0.1 MG/ML Pen Injector [Adlyxin]
40220863,1803897,PR00,lixisenatide 0.1 MG/ML Pen Injector
40220864,1803898,PR00,lixisenatide 0.1 MG/ML Pen Injector [Adlyxin]
40221118,1803902,PR00,{1 (3 ML lixisenatide 0.05 MG/ML Pen Injector) / 1 (3 ML lixisenatide 0.1 MG/ML Pen Injector) } Pack
41934452,2553503,PR00,semaglutide 0.5 MG/ML [Wegovy]
41934596,2395783,PR00,0.5 ML dulaglutide 9 MG/ML Auto-Injector
41936802,2554104,PR00,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy]
41942995,2200642,PR00,semaglutide Pill
41947122,2599362,PR00,3 ML semaglutide 2.68 MG/ML Pen Injector
41974149,2395786,PR00,dulaglutide 9 MG/ML Auto-Injector
42021678,343226,PR00,insulin glargine 100 UNT/ML
42046648,1860171,PR00,Xultophy Injectable Product
42061967,2395776,PR00,dulaglutide 6 MG/ML
42081288,2395778,PR00,dulaglutide 6 MG/ML [Trulicity]
42544059,2002419,PR00,3 ML insulin glargine 300 UNT/ML Pen Injector
42544060,2002420,PR00,3 ML insulin glargine 300 UNT/ML Pen Injector [Toujeo]
42609592,2679316,PR00,tirzepatide Injection [Zepbound]
42609593,2679318,PR00,tirzepatide 20 MG/ML Injection [Zepbound]
42609594,2679320,PR00,tirzepatide 25 MG/ML Injection [Zepbound]
42609595,2679322,PR00,tirzepatide 30 MG/ML Injection [Zepbound]
42609596,2679324,PR00,tirzepatide 5 MG/ML Injection [Zepbound]
42609597,2679326,PR00,tirzepatide 10 MG/ML Injection [Zepbound]
42609598,2679328,PR00,tirzepatide 15 MG/ML Injection [Zepbound]
42609778,2679317,PR00,0.5 ML tirzepatide 20 MG/ML Injection [Zepbound]
42609779,2679319,PR00,0.5 ML tirzepatide 25 MG/ML Injection [Zepbound]
42609780,2679321,PR00,0.5 ML tirzepatide 30 MG/ML Injection [Zepbound]
42609781,2679323,PR00,0.5 ML tirzepatide 5 MG/ML Injection [Zepbound]
42609782,2679325,PR00,0.5 ML tirzepatide 10 MG/ML Injection [Zepbound]
42609783,2679327,PR00,0.5 ML tirzepatide 15 MG/ML Injection [Zepbound]
42705839,1242961,PR00,exenatide 3.08 MG/ML
42705842,1242965,PR00,exenatide 3.08 MG/ML [Bydureon]
