code,codetype,descrip,ingredient
1991311,PR00,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",semaglutide
1991316,PR00,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide
1991317,PR00,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide
2553400,PR00,semaglutide 0.5 MG/ML,semaglutide
2553500,PR00,semaglutide Auto-Injector,semaglutide
2553503,PR00,semaglutide 0.5 MG/ML [Wegovy],semaglutide
2553504,PR00,semaglutide Auto-Injector [Wegovy],semaglutide
2553505,PR00,Wegovy Injectable Product,semaglutide
2553507,PR00,semaglutide 0.5 MG/ML Auto-Injector,semaglutide
2553508,PR00,semaglutide 0.5 MG/ML Auto-Injector [Wegovy],semaglutide
2553600,PR00,semaglutide 1 MG/ML,semaglutide
2553602,PR00,semaglutide 1 MG/ML [Wegovy],semaglutide
2553604,PR00,semaglutide 1 MG/ML Auto-Injector,semaglutide
2553605,PR00,semaglutide 1 MG/ML Auto-Injector [Wegovy],semaglutide
2553606,PR00,semaglutide 2 MG/ML,semaglutide
2553607,PR00,semaglutide 2 MG/ML Auto-Injector,semaglutide
2553608,PR00,semaglutide 2 MG/ML [Wegovy],semaglutide
2553700,PR00,semaglutide 2 MG/ML Auto-Injector [Wegovy],semaglutide
2553900,PR00,semaglutide 2.27 MG/ML,semaglutide
2553902,PR00,semaglutide 2.27 MG/ML [Wegovy],semaglutide
2553904,PR00,semaglutide 2.27 MG/ML Auto-Injector,semaglutide
2553905,PR00,semaglutide 2.27 MG/ML Auto-Injector [Wegovy],semaglutide
2554101,PR00,semaglutide 3.2 MG/ML,semaglutide
2554103,PR00,semaglutide 3.2 MG/ML [Wegovy],semaglutide
2554105,PR00,semaglutide 3.2 MG/ML Auto-Injector,semaglutide
2554106,PR00,semaglutide 3.2 MG/ML Auto-Injector [Wegovy],semaglutide
2553501,PR00,0.5 ML semaglutide 0.5 MG/ML Auto-Injector,semaglutide
2553506,PR00,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],semaglutide
2553601,PR00,0.5 ML semaglutide 1 MG/ML Auto-Injector,semaglutide
2553603,PR00,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],semaglutide
2553802,PR00,0.5 ML semaglutide 2 MG/ML Auto-Injector,semaglutide
2553803,PR00,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],semaglutide
2553901,PR00,0.75 ML semaglutide 2.27 MG/ML Auto-Injector,semaglutide
2553903,PR00,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],semaglutide
2554102,PR00,0.75 ML semaglutide 3.2 MG/ML Auto-Injector,semaglutide
2554104,PR00,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],semaglutide
2398843,PR00,semaglutide 1.34 MG/ML Pen Injector,semaglutide
2398844,PR00,semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide
2398841,PR00,3 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide
2398842,PR00,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide
2200658,PR00,semaglutide 7 MG Oral Tablet [Rybelsus],semaglutide
2200640,PR00,semaglutide 14 MG,semaglutide
2200641,PR00,semaglutide Oral Product,semaglutide
2200642,PR00,semaglutide Pill,semaglutide
2200643,PR00,semaglutide Oral Tablet,semaglutide
2200644,PR00,semaglutide 14 MG Oral Tablet,semaglutide
2200646,PR00,semaglutide 14 MG [Rybelsus],semaglutide
2200647,PR00,semaglutide Oral Tablet [Rybelsus],semaglutide
2200648,PR00,Rybelsus Oral Product,semaglutide
2200649,PR00,Rybelsus Pill,semaglutide
2200650,PR00,semaglutide 14 MG Oral Tablet [Rybelsus],semaglutide
2200651,PR00,semaglutide 3 MG,semaglutide
2200652,PR00,semaglutide 3 MG Oral Tablet,semaglutide
2200653,PR00,semaglutide 3 MG [Rybelsus],semaglutide
2200654,PR00,semaglutide 3 MG Oral Tablet [Rybelsus],semaglutide
2200655,PR00,semaglutide 7 MG,semaglutide
2200656,PR00,semaglutide 7 MG Oral Tablet,semaglutide
2200657,PR00,semaglutide 7 MG [Rybelsus],semaglutide
2644395,PR00,tirzepatide Injection,tirzepatide
2644397,PR00,tirzepatide 15 MG/ML Injection,tirzepatide
2644398,PR00,tirzepatide Injection [Mounjaro],tirzepatide
2644400,PR00,tirzepatide 15 MG/ML Injection [Mounjaro],tirzepatide
2644402,PR00,tirzepatide 10 MG/ML Injection,tirzepatide
2644404,PR00,tirzepatide 10 MG/ML Injection [Mounjaro],tirzepatide
2644406,PR00,tirzepatide 5 MG/ML Injection,tirzepatide
2644408,PR00,tirzepatide 5 MG/ML Injection [Mounjaro],tirzepatide
2644410,PR00,tirzepatide 30 MG/ML Injection,tirzepatide
2644412,PR00,tirzepatide 30 MG/ML Injection [Mounjaro],tirzepatide
2644414,PR00,tirzepatide 25 MG/ML Injection,tirzepatide
2644416,PR00,tirzepatide 25 MG/ML Injection [Mounjaro],tirzepatide
2644418,PR00,tirzepatide 20 MG/ML Injection,tirzepatide
2644420,PR00,tirzepatide 20 MG/ML Injection [Mounjaro],tirzepatide
2669703,PR00,tirzepatide 5 MG/ML [Zepbound],tirzepatide
2669704,PR00,Zepbound Injectable Product,tirzepatide
2669705,PR00,tirzepatide Auto-Injector [Zepbound],tirzepatide
2669707,PR00,tirzepatide 5 MG/ML Auto-Injector [Zepbound],tirzepatide
2669708,PR00,tirzepatide 10 MG/ML [Zepbound],tirzepatide
2669710,PR00,tirzepatide 10 MG/ML Auto-Injector [Zepbound],tirzepatide
2669711,PR00,tirzepatide 15 MG/ML [Zepbound],tirzepatide
2669713,PR00,tirzepatide 15 MG/ML Auto-Injector [Zepbound],tirzepatide
2669714,PR00,tirzepatide 20 MG/ML [Zepbound],tirzepatide
2669716,PR00,tirzepatide 20 MG/ML Auto-Injector [Zepbound],tirzepatide
